21,1,5
21,8,5
21,10,0
21,14,0
21,20,3
22,3,5
22,9,3
22,11,0
22,14,3
22,20,0
23,1,3
23,6,0
23,11,0
23,15,3
23,18,0
24,1,5
24,8,5
24,10,3
24,16,3
24,18,3
25,3,5
25,8,4
25,11,3
25,15,3
25,18,3
26,3,4
26,6,3
26,11,4
26,17,4
26,20,3
27,4,4
27,8,5
27,10,4
27,17,4
27,20,4
28,3,5
28,9,2
28,10,3
28,16,5
28,20,5
29,3,5
29,6,4
29,10,4
29,15,5
29,18,5
30,3,2
30,8,4
30,11,2
30,16,4
30,20,3
11,2,3
11,8,3
11,11,3
11,15,5
11,18,5
12,5,2
12,8,3
12,12,3
12,15,5
12,18,4
13,3,4
13,8,2
13,11,2
13,15,4
13,18,3
14,4,3
14,6,3
14,11,4
14,15,5
14,20,5
15,3,3
15,8,4
15,10,3
15,15,4
15,18,4
16,2,4
16,8,5
16,11,5
16,16,5
16,20,4
17,4,4
17,8,4
17,10,3
17,16,5
17,20,3
18,3,4
18,8,3
18,11,3
18,15,4
18,18,4
19,1,4
19,8,3
19,11,4
19,14,4
19,20,4
20,4,3
20,6,2
20,11,4
20,17,5
20,18,5
